id,pop
ZM9083,Zambia
ZM9051,Zambia
ZM8963,Zambia
ZM9001,Zambia
ZM9080,Zambia
ZM9046,Zambia
ZM9099,Zambia
ZM9082,Zambia
ZM8966,Zambia
ZM9086,Zambia
ZM9064,Zambia
ZM8964,Zambia
ZM9071,Zambia
ZM9087,Zambia
ZM9097,Zambia
ZM9067,Zambia
ZM9014,Zambia
ZM9015,Zambia
ZM9016,Zambia
ZM9017,Zambia
ZM9018,Zambia
ZM9023,Zambia
ZM9081,Zambia
ZM8965,Zambia
ZM9085,Zambia
ZM9024,Zambia
ZM9025,Zambia
ZM9026,Zambia
ZM9027,Zambia
ZM9028,Zambia
ZM9029,Zambia
ZM9030,Zambia
ZM9019,Zambia
ZM9049,Zambia
ZM9073,Zambia
ZM9020,Zambia
ZM9021,Zambia
ZM9022,Zambia
ZM9031,Zambia
ZM9032,Zambia
ZM8969,Zambia
ZM9091,Zambia
ZM9065,Zambia
ZM9052,Zambia
ZM9072,Zambia
ZM9061,Zambia
ZM9104,Zambia
ZM9147,Zambia
ZM9139,Zambia
ZM9054,Zambia
ZM9070,Zambia
ZM9089,Zambia
ZM9044,Zambia
ZM9128,Zambia
ZM9144,Zambia
ZM9117,Zambia
ZM9131,Zambia
ZM9038,Zambia
ZM9109,Zambia
ZM9146,Zambia
ZM9135,Zambia
ZM9047,Zambia
ZM9041,Zambia
ZM9088,Zambia
ZM9059,Zambia
ZM9132,Zambia
ZM9136,Zambia
ZM9121,Zambia
ZM9100,Zambia
ZM9056,Zambia
ZM9129,Zambia
ZM9111,Zambia
ZM9138,Zambia
ZM9060,Zambia
ZM9043,Zambia
ZM9066,Zambia
ZM9079,Zambia
ZM9130,Zambia
ZM9156,Zambia
ZM9153,Zambia
ZM9134,Zambia
ZM9068,Zambia
ZM9150,Zambia
ZM9151,Zambia
ZM9112,Zambia
ZM9036,Zambia
ZM9098,Zambia
ZM9090,Zambia
ZM9142,Zambia
ZM9113,Zambia
ZM9110,Zambia
ZM9162,Zambia
ZM9140,Zambia
ZM9042,Zambia
ZM9158,Zambia
ZM9101,Zambia
ZM9152,Zambia
ZM9037,Zambia
ZM9050,Zambia
ZM9062,Zambia
ZM9141,Zambia
ZM9114,Zambia
ZM9148,Zambia
ZM9103,Zambia
ZM9160,Zambia
ZM9092,Zambia
ZM9154,Zambia
ZM9126,Zambia
ZM9157,Zambia
ZM9063,Zambia
ZM9034,Zambia
ZM9078,Zambia
ZM9145,Zambia
ZM9124,Zambia
ZM9119,Zambia
ZM9127,Zambia
ZM9159,Zambia
ZM9035,Zambia
ZM9137,Zambia
ZM9161,Zambia
ZM9058,Zambia
ZM9048,Zambia
ZM9074,Zambia
ZM9120,Zambia
ZM9133,Zambia
ZM9105,Zambia
ZM9122,Zambia
ZM9040,Zambia
ZM9116,Zambia
ZM9149,Zambia
ZM9055,Zambia
ZM9057,Zambia
ZM9045,Zambia
ZM9143,Zambia
ZM9123,Zambia
ZM9102,Zambia
ZM9118,Zambia
ZM9125,Zambia
ZM9108,Zambia
ZM9167,Zambia
ZM9214,Zambia
ZM9216,Zambia
ZM9053,Zambia
ZM9197,Zambia
ZM9198,Zambia
ZM9185,Zambia
ZM9178,Zambia
ZM9107,Zambia
ZM9165,Zambia
ZM9210,Zambia
ZM9220,Zambia
ZM9076,Zambia
ZM9204,Zambia
ZM9199,Zambia
ZM9179,Zambia
ZM9222,Zambia
ZM9115,Zambia
ZM9164,Zambia
ZM9211,Zambia
ZM9209,Zambia
ZM9201,Zambia
ZM9208,Zambia
ZM9190,Zambia
ZM9188,Zambia
ZM9033,Zambia
ZM9106,Zambia
ZM9174,Zambia
ZM9217,Zambia
ZM9213,Zambia
ZM9221,Zambia
ZM9183,Zambia
ZM9192,Zambia
ZM9182,Zambia
ZM9039,Zambia
ZM9168,Zambia
ZM9172,Zambia
ZM9218,Zambia
ZM9205,Zambia
ZM9219,Zambia
ZM9196,Zambia
ZM9181,Zambia
ZM9184,Zambia
ZM9069,Zambia
ZM9169,Zambia
ZM9173,Zambia
ZM9170,Zambia
ZM9193,Zambia
ZM9207,Zambia
ZM9195,Zambia
ZM9177,Zambia
ZM9187,Zambia
ZM9077,Zambia
ZM9166,Zambia
ZM9163,Zambia
ZM9175,Zambia
ZM9176,Zambia
ZM9194,Zambia
ZM9203,Zambia
ZM9189,Zambia
ZM9084,Zambia
ZM9212,Zambia
ZM9215,Zambia
ZM9171,Zambia
ZM9200,Zambia
ZM9206,Zambia
ZM9191,Zambia
ZM9180,Zambia
ZM9186,Zambia
ZM9075,Zambia
ZM8980,Zambia
ZM8996,Zambia
ZM9000,Zambia
ZM8973,Zambia
ZM8988,Zambia
ZM8967,Zambia
ZM8992,Zambia
ZM9001,Zambia
ZM8968,Zambia
ZM9011,Zambia
ZM8972,Zambia
ZM8970,Zambia
ZM9005,Zambia
ZM9012,Zambia
ZM8983,Zambia
ZM8991,Zambia
ZM8977,Zambia
ZM8982,Zambia
ZM8974,Zambia
ZM9002,Zambia
ZM9006,Zambia
ZM9004,Zambia
ZM8981,Zambia
ZM8966,Zambia
ZM9009,Zambia
ZM8984,Zambia
ZM8999,Zambia
ZM8998,Zambia
ZM8993,Zambia
ZM8979,Zambia
ZM8989,Zambia
ZM8997,Zambia
ZM8971,Zambia
ZM8994,Zambia
ZM8987,Zambia
ZM8963,Zambia
ZM9003,Zambia
ZM8986,Zambia
ZM8965,Zambia
ZM9007,Zambia
ZM8975,Zambia
ZM8985,Zambia
ZM9013,Zambia
ZM9155,Zambia
ZM8995,Zambia
ZM9010,Zambia
ZM8976,Zambia
ZM8964,Zambia
ZM8978,Zambia
ZM8990,Zambia
